Student ID,student_name,gender,year,school_name,reading_score,maths_score,School ID,type,size,budget,spending_bins
0,Paul Bradley,M,9,Huang High School,96,94,0,Government,2917,1910635,$645-680
1,Victor Smith,M,12,Huang High School,90,43,0,Government,2917,1910635,$645-680
2,Kevin Rodriguez,M,12,Huang High School,41,76,0,Government,2917,1910635,$645-680
3,Richard Scott,M,12,Huang High School,89,86,0,Government,2917,1910635,$645-680
4,Bonnie Ray,F,9,Huang High School,87,69,0,Government,2917,1910635,$645-680
5,Bryan Miranda,M,9,Huang High School,88,93,0,Government,2917,1910635,$645-680
6,Sheena Carter,F,11,Huang High School,73,60,0,Government,2917,1910635,$645-680
7,Nicole Baker,F,12,Huang High School,69,64,0,Government,2917,1910635,$645-680
8,Michael Roth,M,10,Huang High School,94,66,0,Government,2917,1910635,$645-680
9,Matthew Greene,M,10,Huang High School,64,77,0,Government,2917,1910635,$645-680
10,Andrew Alexander,M,10,Huang High School,50,66,0,Government,2917,1910635,$645-680
11,Daniel Cooper,M,10,Huang High School,66,89,0,Government,2917,1910635,$645-680
12,Brittney Walker,F,9,Huang High School,76,81,0,Government,2917,1910635,$645-680
13,William Long,M,9,Huang High School,73,88,0,Government,2917,1910635,$645-680
14,Tammy Hebert,F,10,Huang High School,80,79,0,Government,2917,1910635,$645-680
15,Jordan Carson,M,11,Huang High School,86,46,0,Government,2917,1910635,$645-680
16,Donald Zamora,M,9,Huang High School,49,93,0,Government,2917,1910635,$645-680
17,Kimberly Santiago,F,9,Huang High School,64,93,0,Government,2917,1910635,$645-680
18,Kevin Stevens,M,9,Huang High School,68,94,0,Government,2917,1910635,$645-680
19,Brandi Lyons,F,9,Huang High School,60,55,0,Government,2917,1910635,$645-680
20,Lisa Davis,F,10,Huang High School,48,72,0,Government,2917,1910635,$645-680
21,Kristen Lopez,F,10,Huang High School,93,87,0,Government,2917,1910635,$645-680
22,Kimberly Stewart,F,11,Huang High School,39,69,0,Government,2917,1910635,$645-680
23,Christopher Parker,M,9,Huang High School,63,51,0,Government,2917,1910635,$645-680
24,Chelsea Griffith,F,11,Huang High School,94,96,0,Government,2917,1910635,$645-680
25,Cesar Morris,M,9,Huang High School,88,91,0,Government,2917,1910635,$645-680
26,Melanie Decker,F,9,Huang High School,51,96,0,Government,2917,1910635,$645-680
27,Tracey Oconnor,F,10,Huang High School,79,84,0,Government,2917,1910635,$645-680
28,Kelly James,F,11,Huang High School,97,83,0,Government,2917,1910635,$645-680
29,Nicole Brown,F,12,Huang High School,94,39,0,Government,2917,1910635,$645-680
30,Bobby Harris,M,9,Huang High School,72,87,0,Government,2917,1910635,$645-680
31,Brian Fernandez,M,10,Huang High School,56,60,0,Government,2917,1910635,$645-680
32,Candace Phelps,F,11,Huang High School,57,45,0,Government,2917,1910635,$645-680
33,Amy Gonzalez,F,12,Huang High School,89,40,0,Government,2917,1910635,$645-680
34,Steven Green,M,11,Huang High School,41,63,0,Government,2917,1910635,$645-680
35,Benjamin Carlson,M,10,Huang High School,43,52,0,Government,2917,1910635,$645-680
36,Kevin Bailey,M,10,Huang High School,97,39,0,Government,2917,1910635,$645-680
37,Jesse Newton,M,10,Huang High School,73,42,0,Government,2917,1910635,$645-680
38,Kimberly Mercado,F,12,Huang High School,45,56,0,Government,2917,1910635,$645-680
39,Gregory Roberts,M,9,Huang High School,66,98,0,Government,2917,1910635,$645-680
40,Matthew Mayer,M,9,Huang High School,56,66,0,Government,2917,1910635,$645-680
41,Jennifer Parks,F,11,Huang High School,45,43,0,Government,2917,1910635,$645-680
42,John Carlson,M,9,Huang High School,63,59,0,Government,2917,1910635,$645-680
43,Megan Roberts,F,9,Huang High School,59,89,0,Government,2917,1910635,$645-680
44,Debra Flores,F,10,Huang High School,57,63,0,Government,2917,1910635,$645-680
45,Heidi Jackson,F,11,Huang High School,74,55,0,Government,2917,1910635,$645-680
46,Denise Bradford,F,12,Huang High School,58,92,0,Government,2917,1910635,$645-680
47,Ellen Brown,F,11,Huang High School,44,50,0,Government,2917,1910635,$645-680
48,Amy Perkins,F,9,Huang High School,39,72,0,Government,2917,1910635,$645-680
49,Natalie Mitchell,F,10,Huang High School,65,39,0,Government,2917,1910635,$645-680
50,Tiffany Gutierrez,F,10,Huang High School,70,47,0,Government,2917,1910635,$645-680
51,Jennifer Hess,F,11,Huang High School,50,70,0,Government,2917,1910635,$645-680
52,Christine Fletcher,F,12,Huang High School,66,55,0,Government,2917,1910635,$645-680
53,Jon Smith,M,9,Huang High School,64,77,0,Government,2917,1910635,$645-680
54,Tracey Yates,F,9,Huang High School,47,61,0,Government,2917,1910635,$645-680
55,Jerry Gordon,M,12,Huang High School,91,86,0,Government,2917,1910635,$645-680
56,Michael Cox,M,11,Huang High School,45,64,0,Government,2917,1910635,$645-680
57,Madeline Snyder MD,F,9,Huang High School,99,91,0,Government,2917,1910635,$645-680
58,Allison King,F,11,Huang High School,80,74,0,Government,2917,1910635,$645-680
59,Theresa Meyer,F,9,Huang High School,67,53,0,Government,2917,1910635,$645-680
60,Jared Wood,M,9,Huang High School,86,84,0,Government,2917,1910635,$645-680
61,Eric Maynard,M,9,Huang High School,93,53,0,Government,2917,1910635,$645-680
62,Mark Owens,M,11,Huang High School,81,62,0,Government,2917,1910635,$645-680
63,Ronnie Conley,M,11,Huang High School,83,97,0,Government,2917,1910635,$645-680
64,Kimberly Davis,F,12,Huang High School,42,67,0,Government,2917,1910635,$645-680
65,Amy Mitchell,F,11,Huang High School,81,91,0,Government,2917,1910635,$645-680
66,Mr. Dylan Taylor MD,M,10,Huang High School,66,54,0,Government,2917,1910635,$645-680
67,Elizabeth Henderson,F,12,Huang High School,96,62,0,Government,2917,1910635,$645-680
68,James Lopez,M,12,Huang High School,42,90,0,Government,2917,1910635,$645-680
69,Michael Morgan,M,11,Huang High School,93,68,0,Government,2917,1910635,$645-680
70,Angela Francis,F,12,Huang High School,39,74,0,Government,2917,1910635,$645-680
71,Breanna Taylor,F,10,Huang High School,56,97,0,Government,2917,1910635,$645-680
72,Jason Johnson,M,12,Huang High School,77,77,0,Government,2917,1910635,$645-680
73,Kyle Martin,M,10,Huang High School,57,74,0,Government,2917,1910635,$645-680
74,Scott Gill,M,10,Huang High School,74,45,0,Government,2917,1910635,$645-680
75,Lisa Long,F,10,Huang High School,86,50,0,Government,2917,1910635,$645-680
76,Erin Liu,F,9,Huang High School,84,75,0,Government,2917,1910635,$645-680
77,Marcus Richards,M,12,Huang High School,57,53,0,Government,2917,1910635,$645-680
